cliente 0;FOR;CNF;9 dias;1 estrelas;R$ 10000
cliente 1;SSA;RIO;1 dias;2 estrelas;R$ 4000
cliente 2;SAO;FOR;15 dias;5 estrelas;R$ 3500
cliente 3;RIO;REC;13 dias;5 estrelas;R$ 5000
cliente 4;RIO;CNF;14 dias;2 estrelas;R$ 9500
cliente 5;SSA;SAO;7 dias;5 estrelas;R$ 9000
cliente 6;RIO;SSA;5 dias;3 estrelas;R$ 6500
cliente 7;BEL;SSA;14 dias;2 estrelas;R$ 9500
cliente 8;BEL;SAO;11 dias;3 estrelas;R$ 3500
cliente 9;REC;SSA;11 dias;2 estrelas;R$ 10000
cliente 10;RIO;FOR;8 dias;1 estrelas;R$ 9000
cliente 11;CNF;RIO;1 dias;1 estrelas;R$ 3500
cliente 12;RIO;REC;13 dias;3 estrelas;R$ 8000
cliente 13;RIO;SAO;14 dias;2 estrelas;R$ 7000
cliente 14;REC;SAO;7 dias;1 estrelas;R$ 7500
cliente 15;SSA;REC;14 dias;2 estrelas;R$ 4000
cliente 16;SSA;BEL;1 dias;4 estrelas;R$ 2000
cliente 17;SAO;BEL;2 dias;3 estrelas;R$ 8000
cliente 18;FOR;SSA;8 dias;3 estrelas;R$ 4500
cliente 19;BEL;REC;10 dias;1 estrelas;R$ 4500
cliente 20;CNF;REC;8 dias;1 estrelas;R$ 7500
cliente 21;SAO;SSA;13 dias;1 estrelas;R$ 9000
cliente 22;BEL;RIO;15 dias;1 estrelas;R$ 4000
cliente 23;SSA;BEL;12 dias;4 estrelas;R$ 6500
cliente 24;RIO;BEL;13 dias;5 estrelas;R$ 8500
cliente 25;SSA;RIO;14 dias;4 estrelas;R$ 9000
cliente 26;RIO;CNF;6 dias;4 estrelas;R$ 9500
cliente 27;SAO;REC;2 dias;4 estrelas;R$ 3000
cliente 28;SAO;CNF;10 dias;1 estrelas;R$ 6500
cliente 29;CNF;BEL;8 dias;1 estrelas;R$ 4000
cliente 30;FOR;RIO;7 dias;3 estrelas;R$ 7500
cliente 31;RIO;BEL;2 dias;5 estrelas;R$ 4500
cliente 32;FOR;RIO;13 dias;2 estrelas;R$ 8500
cliente 33;BEL;RIO;5 dias;5 estrelas;R$ 5000
cliente 34;SSA;RIO;5 dias;3 estrelas;R$ 7000
cliente 35;FOR;REC;13 dias;2 estrelas;R$ 8000
cliente 36;CNF;RIO;10 dias;2 estrelas;R$ 8500
cliente 37;REC;SAO;13 dias;5 estrelas;R$ 9000
cliente 38;SSA;FOR;1 dias;4 estrelas;R$ 5000
cliente 39;SAO;RIO;7 dias;5 estrelas;R$ 6000
cliente 40;SAO;RIO;7 dias;1 estrelas;R$ 4000
cliente 41;SAO;SSA;15 dias;4 estrelas;R$ 6500
cliente 42;BEL;SSA;1 dias;2 estrelas;R$ 8000
cliente 43;SAO;RIO;9 dias;4 estrelas;R$ 3000
cliente 44;SSA;FOR;2 dias;4 estrelas;R$ 7500
cliente 45;CNF;REC;2 dias;4 estrelas;R$ 3500
cliente 46;REC;RIO;1 dias;3 estrelas;R$ 9500
cliente 47;SAO;CNF;13 dias;5 estrelas;R$ 4000
cliente 48;SAO;SSA;3 dias;2 estrelas;R$ 6000
cliente 49;SSA;REC;6 dias;5 estrelas;R$ 4000
cliente 50;CNF;REC;6 dias;1 estrelas;R$ 9500
cliente 51;SSA;CNF;8 dias;2 estrelas;R$ 8500
cliente 52;REC;BEL;5 dias;1 estrelas;R$ 10000
cliente 53;CNF;SAO;3 dias;3 estrelas;R$ 2500
cliente 54;CNF;RIO;2 dias;1 estrelas;R$ 8000
cliente 55;SAO;BEL;4 dias;3 estrelas;R$ 7000
cliente 56;SSA;REC;6 dias;2 estrelas;R$ 4500
cliente 57;SAO;SSA;3 dias;4 estrelas;R$ 8000
cliente 58;SAO;BEL;11 dias;1 estrelas;R$ 8000
cliente 59;SAO;RIO;13 dias;5 estrelas;R$ 3500
cliente 60;BEL;CNF;13 dias;1 estrelas;R$ 8500
cliente 61;CNF;RIO;13 dias;3 estrelas;R$ 6500
cliente 62;FOR;CNF;3 dias;2 estrelas;R$ 2500
cliente 63;REC;CNF;13 dias;3 estrelas;R$ 9000
cliente 64;FOR;CNF;7 dias;5 estrelas;R$ 8500
cliente 65;SSA;RIO;15 dias;5 estrelas;R$ 9000
cliente 66;FOR;BEL;6 dias;4 estrelas;R$ 7000
cliente 67;BEL;SAO;13 dias;4 estrelas;R$ 7500
cliente 68;SSA;CNF;13 dias;3 estrelas;R$ 7000
cliente 69;SSA;CNF;5 dias;5 estrelas;R$ 10000
cliente 70;SAO;FOR;2 dias;5 estrelas;R$ 2000
cliente 71;SAO;RIO;12 dias;5 estrelas;R$ 5000
cliente 72;REC;SSA;13 dias;5 estrelas;R$ 5500
cliente 73;BEL;CNF;9 dias;3 estrelas;R$ 6500
cliente 74;RIO;SAO;14 dias;3 estrelas;R$ 3000
cliente 75;SSA;REC;2 dias;1 estrelas;R$ 9000
cliente 76;REC;SAO;13 dias;5 estrelas;R$ 7000
cliente 77;RIO;SAO;9 dias;4 estrelas;R$ 5500
cliente 78;BEL;RIO;14 dias;4 estrelas;R$ 10000
cliente 79;FOR;BEL;3 dias;2 estrelas;R$ 5500
cliente 80;SAO;REC;1 dias;3 estrelas;R$ 5500
cliente 81;BEL;SSA;7 dias;5 estrelas;R$ 5500
cliente 82;SAO;SSA;14 dias;3 estrelas;R$ 2500
cliente 83;SSA;BEL;15 dias;3 estrelas;R$ 7000
cliente 84;CNF;SAO;4 dias;2 estrelas;R$ 3000
cliente 85;SSA;SAO;6 dias;4 estrelas;R$ 6000
cliente 86;RIO;SSA;9 dias;2 estrelas;R$ 9500
cliente 87;REC;RIO;9 dias;4 estrelas;R$ 3500
cliente 88;REC;RIO;6 dias;4 estrelas;R$ 6000
cliente 89;FOR;SSA;8 dias;2 estrelas;R$ 6000
cliente 90;CNF;RIO;3 dias;1 estrelas;R$ 5500
cliente 91;REC;FOR;8 dias;1 estrelas;R$ 7500
cliente 92;SAO;RIO;3 dias;5 estrelas;R$ 7500
cliente 93;FOR;SAO;6 dias;1 estrelas;R$ 4000
cliente 94;RIO;CNF;5 dias;3 estrelas;R$ 8000
cliente 95;RIO;BEL;5 dias;1 estrelas;R$ 7000
cliente 96;REC;SSA;7 dias;2 estrelas;R$ 8500
cliente 97;CNF;SSA;8 dias;3 estrelas;R$ 7500
cliente 98;RIO;REC;8 dias;5 estrelas;R$ 7500
cliente 99;CNF;RIO;5 dias;3 estrelas;R$ 3500
cliente 100;SAO;SSA;6 dias;2 estrelas;R$ 9000
cliente 101;RIO;BEL;2 dias;1 estrelas;R$ 5000
cliente 102;CNF;RIO;15 dias;5 estrelas;R$ 8500
cliente 103;BEL;CNF;14 dias;2 estrelas;R$ 10000
cliente 104;CNF;REC;2 dias;1 estrelas;R$ 5500
cliente 105;FOR;BEL;5 dias;5 estrelas;R$ 9000
cliente 106;REC;SSA;4 dias;2 estrelas;R$ 3000
cliente 107;SSA;SAO;9 dias;5 estrelas;R$ 3000
cliente 108;RIO;REC;5 dias;2 estrelas;R$ 8500
cliente 109;BEL;FOR;6 dias;1 estrelas;R$ 10000
cliente 110;BEL;RIO;5 dias;1 estrelas;R$ 6500
cliente 111;SSA;RIO;9 dias;3 estrelas;R$ 3500
cliente 112;RIO;CNF;15 dias;3 estrelas;R$ 4500
cliente 113;SAO;REC;9 dias;1 estrelas;R$ 10000
cliente 114;FOR;RIO;15 dias;1 estrelas;R$ 3000
cliente 115;BEL;REC;3 dias;5 estrelas;R$ 10000
cliente 116;FOR;BEL;11 dias;1 estrelas;R$ 9500
cliente 117;REC;CNF;8 dias;4 estrelas;R$ 4000
cliente 118;CNF;REC;7 dias;5 estrelas;R$ 2000
cliente 119;RIO;FOR;8 dias;1 estrelas;R$ 8000
cliente 120;SAO;CNF;14 dias;1 estrelas;R$ 6500
cliente 121;REC;SAO;1 dias;2 estrelas;R$ 6500
cliente 122;REC;CNF;5 dias;5 estrelas;R$ 8500
cliente 123;RIO;FOR;5 dias;5 estrelas;R$ 8500
cliente 124;BEL;REC;11 dias;5 estrelas;R$ 7000
cliente 125;RIO;SAO;13 dias;5 estrelas;R$ 4000
cliente 126;SSA;RIO;7 dias;5 estrelas;R$ 3000
cliente 127;CNF;RIO;12 dias;4 estrelas;R$ 8500
cliente 128;RIO;SAO;14 dias;1 estrelas;R$ 9000
cliente 129;FOR;RIO;3 dias;3 estrelas;R$ 9000
cliente 130;CNF;BEL;11 dias;3 estrelas;R$ 4500
cliente 131;FOR;RIO;14 dias;5 estrelas;R$ 9500
cliente 132;REC;BEL;6 dias;2 estrelas;R$ 10000
cliente 133;REC;CNF;13 dias;4 estrelas;R$ 7500
cliente 134;FOR;SSA;12 dias;5 estrelas;R$ 3000
cliente 135;RIO;FOR;1 dias;4 estrelas;R$ 10000
cliente 136;RIO;BEL;3 dias;4 estrelas;R$ 3500
cliente 137;REC;FOR;7 dias;5 estrelas;R$ 6500
cliente 138;RIO;FOR;5 dias;1 estrelas;R$ 4500
cliente 139;BEL;FOR;5 dias;5 estrelas;R$ 8500
cliente 140;REC;BEL;2 dias;3 estrelas;R$ 5000
cliente 141;SSA;CNF;15 dias;2 estrelas;R$ 5000
cliente 142;RIO;FOR;5 dias;5 estrelas;R$ 8500
cliente 143;RIO;REC;12 dias;2 estrelas;R$ 8000
cliente 144;RIO;FOR;14 dias;4 estrelas;R$ 7000
cliente 145;FOR;CNF;7 dias;4 estrelas;R$ 6500
cliente 146;SAO;CNF;8 dias;3 estrelas;R$ 4000
cliente 147;CNF;BEL;4 dias;3 estrelas;R$ 3000
cliente 148;REC;SSA;13 dias;1 estrelas;R$ 4000
cliente 149;BEL;SSA;2 dias;5 estrelas;R$ 5000
cliente 150;REC;CNF;1 dias;3 estrelas;R$ 2500
cliente 151;SAO;REC;13 dias;3 estrelas;R$ 3000
cliente 152;CNF;SAO;4 dias;1 estrelas;R$ 8500
cliente 153;RIO;FOR;10 dias;1 estrelas;R$ 9000
cliente 154;REC;RIO;4 dias;1 estrelas;R$ 4500
cliente 155;SAO;FOR;4 dias;3 estrelas;R$ 4000
cliente 156;SAO;SSA;8 dias;4 estrelas;R$ 7500
cliente 157;SAO;REC;4 dias;4 estrelas;R$ 5500
cliente 158;SSA;CNF;13 dias;1 estrelas;R$ 7000
cliente 159;RIO;SAO;15 dias;4 estrelas;R$ 8000
cliente 160;RIO;REC;4 dias;4 estrelas;R$ 6500
cliente 161;RIO;BEL;7 dias;5 estrelas;R$ 9500
cliente 162;FOR;BEL;6 dias;3 estrelas;R$ 4000
cliente 163;SAO;REC;1 dias;4 estrelas;R$ 4000
cliente 164;SAO;REC;12 dias;4 estrelas;R$ 9500
cliente 165;SSA;CNF;5 dias;1 estrelas;R$ 10000
cliente 166;SAO;SSA;15 dias;5 estrelas;R$ 7500
cliente 167;FOR;RIO;8 dias;5 estrelas;R$ 4500
cliente 168;SAO;FOR;6 dias;1 estrelas;R$ 3000
cliente 169;REC;SAO;11 dias;1 estrelas;R$ 7500
cliente 170;SSA;CNF;1 dias;4 estrelas;R$ 3000
cliente 171;SAO;CNF;14 dias;1 estrelas;R$ 5000
cliente 172;REC;CNF;5 dias;1 estrelas;R$ 8000
cliente 173;CNF;BEL;1 dias;4 estrelas;R$ 7500
cliente 174;BEL;SAO;8 dias;4 estrelas;R$ 7000
cliente 175;SSA;RIO;12 dias;2 estrelas;R$ 3000
cliente 176;CNF;SAO;2 dias;4 estrelas;R$ 2000
cliente 177;BEL;SSA;1 dias;3 estrelas;R$ 8000
cliente 178;SSA;REC;15 dias;1 estrelas;R$ 9500
cliente 179;FOR;BEL;5 dias;1 estrelas;R$ 7000
cliente 180;SSA;REC;14 dias;1 estrelas;R$ 5500
cliente 181;REC;CNF;11 dias;2 estrelas;R$ 6000
cliente 182;SAO;RIO;4 dias;4 estrelas;R$ 2000
cliente 183;RIO;SSA;15 dias;2 estrelas;R$ 3000
cliente 184;SAO;RIO;6 dias;5 estrelas;R$ 7000
cliente 185;SSA;CNF;5 dias;1 estrelas;R$ 7000
cliente 186;REC;RIO;14 dias;4 estrelas;R$ 9000
cliente 187;RIO;SAO;8 dias;3 estrelas;R$ 10000
cliente 188;BEL;RIO;5 dias;2 estrelas;R$ 5000
cliente 189;FOR;RIO;2 dias;1 estrelas;R$ 5000
cliente 190;SSA;SAO;3 dias;3 estrelas;R$ 9500
cliente 191;SAO;FOR;10 dias;5 estrelas;R$ 9000
cliente 192;BEL;REC;9 dias;2 estrelas;R$ 4000
cliente 193;REC;FOR;5 dias;5 estrelas;R$ 3000
cliente 194;REC;SAO;12 dias;2 estrelas;R$ 5500
cliente 195;CNF;SAO;1 dias;1 estrelas;R$ 4000
cliente 196;RIO;SSA;1 dias;3 estrelas;R$ 4500
cliente 197;FOR;SSA;10 dias;4 estrelas;R$ 5000
cliente 198;SAO;CNF;9 dias;5 estrelas;R$ 5000
cliente 199;CNF;REC;5 dias;5 estrelas;R$ 3500
cliente 200;SSA;SAO;12 dias;4 estrelas;R$ 6500
cliente 201;REC;SSA;12 dias;4 estrelas;R$ 3000
cliente 202;RIO;CNF;2 dias;5 estrelas;R$ 2000
cliente 203;FOR;SAO;1 dias;4 estrelas;R$ 6000
cliente 204;CNF;RIO;10 dias;5 estrelas;R$ 2000
cliente 205;SAO;SSA;4 dias;2 estrelas;R$ 6500
cliente 206;BEL;SAO;6 dias;5 estrelas;R$ 5500
cliente 207;FOR;RIO;14 dias;3 estrelas;R$ 4000
cliente 208;REC;RIO;5 dias;3 estrelas;R$ 6000
cliente 209;SAO;SSA;6 dias;4 estrelas;R$ 3500
cliente 210;FOR;RIO;5 dias;2 estrelas;R$ 2000
cliente 211;FOR;RIO;13 dias;3 estrelas;R$ 7000
cliente 212;BEL;CNF;10 dias;3 estrelas;R$ 4000
cliente 213;SAO;SSA;3 dias;1 estrelas;R$ 2000
cliente 214;BEL;CNF;5 dias;1 estrelas;R$ 8500
cliente 215;FOR;SSA;15 dias;2 estrelas;R$ 8000
cliente 216;REC;RIO;7 dias;4 estrelas;R$ 9500
cliente 217;SAO;BEL;15 dias;1 estrelas;R$ 7500
cliente 218;FOR;BEL;6 dias;3 estrelas;R$ 10000
cliente 219;BEL;REC;11 dias;1 estrelas;R$ 8500
cliente 220;REC;FOR;6 dias;1 estrelas;R$ 9500
cliente 221;SAO;RIO;7 dias;5 estrelas;R$ 7500
cliente 222;CNF;BEL;14 dias;4 estrelas;R$ 8500
cliente 223;FOR;BEL;3 dias;1 estrelas;R$ 2500
cliente 224;SAO;FOR;11 dias;5 estrelas;R$ 9000
cliente 225;REC;SSA;6 dias;3 estrelas;R$ 6000
cliente 226;CNF;REC;15 dias;5 estrelas;R$ 7500
cliente 227;CNF;REC;4 dias;4 estrelas;R$ 8000
cliente 228;FOR;REC;7 dias;1 estrelas;R$ 7500
cliente 229;SSA;CNF;13 dias;3 estrelas;R$ 7500
cliente 230;BEL;CNF;7 dias;3 estrelas;R$ 5500
cliente 231;FOR;BEL;5 dias;1 estrelas;R$ 9500
cliente 232;BEL;CNF;7 dias;1 estrelas;R$ 8500
cliente 233;SAO;CNF;2 dias;2 estrelas;R$ 3500
cliente 234;CNF;BEL;1 dias;3 estrelas;R$ 4500
cliente 235;CNF;BEL;1 dias;2 estrelas;R$ 3500
cliente 236;RIO;SAO;9 dias;3 estrelas;R$ 8500
cliente 237;RIO;CNF;15 dias;4 estrelas;R$ 6500
cliente 238;CNF;REC;13 dias;1 estrelas;R$ 6500
cliente 239;BEL;CNF;11 dias;1 estrelas;R$ 9500
cliente 240;REC;SSA;3 dias;5 estrelas;R$ 8500
cliente 241;SAO;CNF;1 dias;5 estrelas;R$ 9500
cliente 242;CNF;FOR;13 dias;1 estrelas;R$ 9500
cliente 243;RIO;BEL;9 dias;1 estrelas;R$ 8500
cliente 244;BEL;REC;2 dias;4 estrelas;R$ 9000
cliente 245;SAO;RIO;1 dias;2 estrelas;R$ 10000
cliente 246;CNF;SAO;5 dias;3 estrelas;R$ 9000
cliente 247;CNF;FOR;8 dias;3 estrelas;R$ 8000
cliente 248;BEL;FOR;13 dias;4 estrelas;R$ 8500
cliente 249;RIO;SAO;13 dias;1 estrelas;R$ 10000
