cliente 0;SAO;SSA;12 dias;4 estrelas;R$ 7500
cliente 1;SAO;CNF;14 dias;4 estrelas;R$ 4000
cliente 2;RIO;REC;11 dias;2 estrelas;R$ 8000
cliente 3;FOR;BEL;11 dias;2 estrelas;R$ 8500
cliente 4;RIO;BEL;7 dias;2 estrelas;R$ 9000
cliente 5;CNF;SSA;15 dias;2 estrelas;R$ 8500
cliente 6;FOR;BEL;2 dias;4 estrelas;R$ 3500
cliente 7;FOR;SAO;14 dias;4 estrelas;R$ 9500
cliente 8;CNF;SSA;1 dias;4 estrelas;R$ 9500
cliente 9;BEL;CNF;10 dias;3 estrelas;R$ 6500
cliente 10;SAO;SSA;9 dias;4 estrelas;R$ 8500
cliente 11;RIO;SSA;9 dias;4 estrelas;R$ 4500
cliente 12;REC;CNF;13 dias;1 estrelas;R$ 9000
cliente 13;CNF;SAO;12 dias;1 estrelas;R$ 3000
cliente 14;SSA;RIO;11 dias;3 estrelas;R$ 5000
cliente 15;CNF;RIO;12 dias;2 estrelas;R$ 5000
cliente 16;SSA;RIO;10 dias;1 estrelas;R$ 2500
cliente 17;CNF;SSA;13 dias;1 estrelas;R$ 7500
cliente 18;BEL;SAO;14 dias;2 estrelas;R$ 8000
cliente 19;BEL;RIO;14 dias;5 estrelas;R$ 6500
cliente 20;SAO;CNF;3 dias;5 estrelas;R$ 6000
cliente 21;RIO;CNF;1 dias;4 estrelas;R$ 6000
cliente 22;RIO;SAO;5 dias;5 estrelas;R$ 6000
cliente 23;SAO;RIO;4 dias;3 estrelas;R$ 9500
cliente 24;SAO;FOR;11 dias;5 estrelas;R$ 3000
cliente 25;FOR;REC;2 dias;2 estrelas;R$ 8000
cliente 26;RIO;CNF;6 dias;1 estrelas;R$ 4500
cliente 27;SAO;RIO;11 dias;2 estrelas;R$ 9000
cliente 28;FOR;SSA;10 dias;5 estrelas;R$ 8500
cliente 29;FOR;CNF;6 dias;5 estrelas;R$ 5000
cliente 30;RIO;SSA;4 dias;2 estrelas;R$ 2000
cliente 31;RIO;FOR;5 dias;1 estrelas;R$ 4500
cliente 32;RIO;BEL;12 dias;5 estrelas;R$ 10000
cliente 33;CNF;BEL;13 dias;2 estrelas;R$ 4000
cliente 34;CNF;SSA;1 dias;5 estrelas;R$ 7500
cliente 35;SSA;RIO;9 dias;3 estrelas;R$ 7000
cliente 36;CNF;SAO;9 dias;5 estrelas;R$ 5000
cliente 37;BEL;SAO;15 dias;1 estrelas;R$ 8000
cliente 38;REC;BEL;7 dias;3 estrelas;R$ 7500
cliente 39;BEL;SSA;3 dias;2 estrelas;R$ 5500
cliente 40;BEL;SAO;12 dias;2 estrelas;R$ 9000
cliente 41;RIO;BEL;6 dias;5 estrelas;R$ 2500
cliente 42;SSA;FOR;5 dias;5 estrelas;R$ 3000
cliente 43;BEL;SSA;6 dias;1 estrelas;R$ 6500
cliente 44;RIO;SSA;6 dias;3 estrelas;R$ 10000
cliente 45;BEL;SSA;10 dias;4 estrelas;R$ 7500
cliente 46;CNF;FOR;2 dias;3 estrelas;R$ 5500
cliente 47;FOR;SAO;15 dias;3 estrelas;R$ 10000
cliente 48;BEL;SSA;6 dias;3 estrelas;R$ 10000
cliente 49;BEL;CNF;2 dias;4 estrelas;R$ 9500
cliente 50;FOR;SSA;6 dias;4 estrelas;R$ 7500
cliente 51;FOR;RIO;9 dias;3 estrelas;R$ 5000
cliente 52;RIO;FOR;9 dias;1 estrelas;R$ 6500
cliente 53;FOR;BEL;13 dias;4 estrelas;R$ 8000
cliente 54;BEL;FOR;7 dias;4 estrelas;R$ 6000
cliente 55;RIO;SSA;6 dias;4 estrelas;R$ 4000
cliente 56;FOR;RIO;8 dias;2 estrelas;R$ 6000
cliente 57;SAO;FOR;9 dias;3 estrelas;R$ 4000
cliente 58;SAO;RIO;5 dias;2 estrelas;R$ 6000
cliente 59;SSA;CNF;8 dias;3 estrelas;R$ 3000
cliente 60;CNF;RIO;3 dias;5 estrelas;R$ 6500
cliente 61;BEL;SSA;8 dias;2 estrelas;R$ 9500
cliente 62;BEL;REC;2 dias;1 estrelas;R$ 5500
cliente 63;FOR;RIO;6 dias;4 estrelas;R$ 7000
cliente 64;REC;RIO;10 dias;5 estrelas;R$ 3500
